name,clusterName,id
Microsoft C#,Information Technology: Microsoft Development Tools;Specialised Skills,76
Negotiation Skills,Sales: General Sales;Specialised Skills,77
PERL Scripting Language,Specialised Skills,78
Red Hat Linux,Information Technology: Operating Systems;Specialised Skills,79
Red Hat Linux Administration,Information Technology: Systems Administration;Specialised Skills,80
Relational DataBase Management System (RDBMS),Information Technology: Database Administration;Specialised Skills,81
SQL Server,Information Technology: SQL Databases and Programming;Specialised Skills,82
Sybase,Information Technology: Database Administration;Specialised Skills,83
Trading Systems,Finance: Financial Trading;Specialised Skills,84
Troubleshooting,Specialised Skills,85
Dealer Rooms,Specialised Skills,86
Market Risk,Business: Risk Management;Specialised Skills,87
Apache Groovy,Information Technology: Scripting Languages;Specialised Skills,88
Data Warehousing,Information Technology: Data Warehousing;Specialised Skills,89
Database Design,Information Technology: Database Administration;Specialised Skills,90
DevOps,Information Technology: Software Development Methodologies;Specialised Skills,91
Django,Information Technology: Web Development;Specialised Skills,92
It Support,Information Technology: Technical Support;Specialised Skills,93
Selenium,Information Technology: Test Automation;Specialised Skills,94
System Documentation,Information Technology: System Design and Implementation;Specialised Skills,95
Teradata,Information Technology: Data Warehousing;Specialised Skills,96
VMware,Information Technology: Virtual Machines (VM);Specialised Skills,97
Version Control,Information Technology: Version Control;Specialised Skills,98
Planning,Specialised Skills,99
Prioritising Tasks,Specialised Skills,100
Listening,Specialised Skills,101
Electrical Work,"Maintenance, Repair, and Installation: Basic Electrical Systems;Specialised Skills",102
Residential Electrical Work,Architecture and Construction: Electrical Construction;Specialised Skills,103
Account Reconciliation,Finance: General Accounting;Specialised Skills,104
Fund Accounting,Finance: Specialised Accounting;Specialised Skills,105
Risk Assessment,Business: Risk Management;Specialised Skills,106
Service Level Agreement,Business: Contract Management;Specialised Skills,107
Sorting,Administration: General Administrative and Clerical Tasks;Specialised Skills,108
Record Keeping,Administration: General Administrative and Clerical Tasks;Specialised Skills,109
Drain Cleaning,"Maintenance, Repair, and Installation: Plumbing;Specialised Skills",110
Environmental Management,Environment: Environmental Work;Specialised Skills,111
Environmental Management Systems,Environment: Environmental Work;Specialised Skills,112
Machine Operation,Manufacturing and Production: Machinery;Specialised Skills,113
Occupational Health and Safety,Human Resources: Occupational Health and Safety;Specialised Skills,114
Computer Forensics,Information Technology: Cybersecurity;Specialised Skills,115
Data Collection,Analysis: Data Techniques;Specialised Skills,116
Information Security,Information Technology: Cybersecurity;Specialised Skills,117
Malware Analysis,Information Technology: Anti-Malware Software;Specialised Skills,118
Phishing,Information Technology: Cybersecurity;Specialised Skills,119
Storage Area Network,Information Technology: Network File System (NFS);Specialised Skills,120
Transmission Control Protocol / Internet Protocol (TCP / IP),Information Technology: Network Protocols;Specialised Skills,121
Atlassian JIRA,Information Technology: Software Quality Assurance;Specialised Skills,122
Confluence,Information Technology: Productivity Software;Specialised Skills,123
Guidewire,Specialised Skills,124
System Design,Information Technology: System Design and Implementation;Specialised Skills,125
Data Analysis,Analysis: Data Analysis;Specialised Skills,126
Disaster Recovery Planning,Information Technology: System Design and Implementation;Specialised Skills,127
AngularJS,Information Technology: JavaScript and jQuery;Specialised Skills,128
Automated Testing,Information Technology: Test Automation;Specialised Skills,129
Continuous Deployment,Information Technology: Software Development Methodologies;Specialised Skills,130
JavaScript,Information Technology: JavaScript and jQuery;Specialised Skills,131
Vue.js,Specialised Skills,132
Good Manufacturing Practices (GMP),Manufacturing and Production: Manufacturing Processes;Specialised Skills,133
Performance Management,Business: Performance Management;Specialised Skills,134
Production Management,Business: Operations Management;Specialised Skills,135
Analytical Skills,Specialised Skills,136
Microsoft Powerpoint,Information Technology: Microsoft Office and Productivity Tools;Specialised Skills,137
Policy Implementation,Business: Business Management;Specialised Skills,138
Research,Specialised Skills,139
Data Entry,Administration: General Administrative and Clerical Tasks;Specialised Skills,140
Database Management,Information Technology: Database Administration;Specialised Skills,141
Fundraising,Marketing and Public Relations: Fundraising;Specialised Skills,142
Salesforce,Marketing and Public Relations: Customer Relationship Management (CRM);Specialised Skills,143
Salesforce.Com Administration,Marketing and Public Relations: Customer Relationship Management (CRM);Specialised Skills,144
Chinese,Specialised Skills,145
Property Management,Business: Property Management;Specialised Skills,146
Change Management,Business: Business Management;Specialised Skills,147
Account Management,Sales: Account Management;Specialised Skills,148
Autism Diagnosis / Treatment / Care,Health Care: Mental Health Diseases and Disorders;Specialised Skills,149
Business Operations,Business: Business Process and Analysis;Specialised Skills,150
Cancer knowledge,Health Care: Oncology;Specialised Skills,151
Cerebral Palsy Diagnosis / Treatment,Health Care: Neurology;Specialised Skills,152
Deafness,Specialised Skills,153
Diabetes Diagnosis / Treatment,Health Care: Endocrinology;Specialised Skills,154
Experiments,Science and Research: Research Methodology;Specialised Skills,155
Field Surveys,Engineering: Surveying;Specialised Skills,156
Muscular Dystrophy Diagnosis / Treatment,Specialised Skills,157
Post Traumatic Stress Disorder,Health Care: Mental Health Diseases and Disorders;Specialised Skills,158
Process Design,Business: Business Process and Analysis;Specialised Skills,159
Sclerosis Diagnosis / Treatment,Health Care: Neurology;Specialised Skills,160
Sign Language,Specialised Skills,161
Working With Patient And/Or Condition: Bipolar Disorder,Health Care: Mental Health Diseases and Disorders;Specialised Skills,162
Working With Patient And/Or Condition: Major Depression,Specialised Skills,163
Working With Patient And/Or Condition: Schizophrenia,Health Care: Mental Health Diseases and Disorders;Specialised Skills,164
Policy Development,Education and Training: Program Management;Specialised Skills,165
Presentation Skills,Specialised Skills,166
Administrative Support,Administration: Administrative Support;Specialised Skills,167
Automation Tools,Information Technology: Test Automation;Specialised Skills,168
Decision Making,Specialised Skills,169
ITIL,Information Technology: IT Management;Specialised Skills,170
Infrastructure as a Service (IaaS),Information Technology: Cloud Solutions;Specialised Skills,171
Initiative,Specialised Skills,172
Microsoft PowerShell,Information Technology: Scripting;Specialised Skills,173
Microsoft System Centre,Information Technology: Systems Administration;Specialised Skills,174
Microsoft Windows,Information Technology: Microsoft Windows;Specialised Skills,175
Oral Communication,Specialised Skills,176
Platform as a Service (PaaS),Information Technology: Cloud Solutions;Specialised Skills,177
Security Configuration Management,Specialised Skills,178
Software as a Service (SaaS),Information Technology: Cloud Solutions;Specialised Skills,179
Systems Development,Information Technology: System Design and Implementation;Specialised Skills,180
Technical Support,Information Technology: Technical Support;Specialised Skills,181
VMware vSphere,Information Technology: Virtual Machines (VM);Specialised Skills,182
Virtualisation,Information Technology: Virtual Machines (VM);Specialised Skills,183
Windows Server,Information Technology: Operating Systems;Specialised Skills,184
Help Desk Support,Information Technology: Help Desk Support;Specialised Skills,185
Typing,Specialised Skills,186
Written Communication,Specialised Skills,187
Natural Resource Management,Environment: Resource Management and Restoration;Specialised Skills,188
Natural Resources,Environment: Resource Management and Restoration;Specialised Skills,189
Strategic Thinking,Specialised Skills,190
Employee Engagement,Human Resources: Employee Relations;Specialised Skills,191
AWS Redshift,Information Technology: Data Warehousing;Specialised Skills,192
Analytical Functions,Analysis: Mathematics;Specialised Skills,193
Columnar Databases,Information Technology: NoSQL Databases;Specialised Skills,194
Data Architecture,Information Technology: Database Administration;Specialised Skills,195
Data Modelling,Information Technology: Database Administration;Specialised Skills,196
Kanban,Manufacturing and Production: Lean Manufacturing;Specialised Skills,197
Liquefied Natural Gas (LNG),Energy and Utilities: Energy Solutions;Specialised Skills,198
Microsoft Visio,Information Technology: Microsoft Office and Productivity Tools;Specialised Skills,199
MySQL,Information Technology: SQL Databases and Programming;Specialised Skills,200
Business Analysis,Business: Business Process and Analysis;Specialised Skills,201
Business Intelligence,Analysis: Business Intelligence;Specialised Skills,202
Business Process,Business: Business Process and Analysis;Specialised Skills,203
Client/Server,Information Technology: Web Servers;Specialised Skills,204
Data Mining,Analysis: Data Mining;Specialised Skills,205
Empower,Specialised Skills,206
Relational Databases,Information Technology: Database Administration;Specialised Skills,207
Spreadsheets,Information Technology: Microsoft Office and Productivity Tools;Specialised Skills,208
Billing,Finance: Billing and Invoicing;Specialised Skills,209
Microsoft Outlook,Information Technology: Microsoft Office and Productivity Tools;Specialised Skills,210
Supply Chain Knowledge,Supply Chain and Logistics: Supply Chain Management;Specialised Skills,211
Budgeting,Finance: Budget Management;Specialised Skills,212
Community Development,Media and Writing: Writing;Specialised Skills,213
General Office Duties,Administration: General Administrative and Clerical Tasks;Specialised Skills,214
Grant Applications,Marketing and Public Relations: Grant Applications;Specialised Skills,215
Aboriginal and/or Torres Strait Islander Descent,Common Skills,216
Ad Operations,Specialised Skills,217
Citrix,Information Technology: Cloud Solutions;Specialised Skills,218
Hardware and Software Configuration,Information Technology: System Design and Implementation;Specialised Skills,219
Hardware and Software Installation,Information Technology: Technical Support;Specialised Skills,220
Paxus,Specialised Skills,221
Peripheral Equipment Repair,Specialised Skills,222
System Administration,Information Technology: Systems Administration;Specialised Skills,223
Data Quality,Information Technology: Data Management;Specialised Skills,224
Quality Management,Specialised Skills,225
Articulate,Specialised Skills,226
Bitbucket,Specialised Skills,227
Customer Experience Improvement,Customer and Client Support: Advanced Customer Service;Specialised Skills,228
English,Specialised Skills,229
C++,Information Technology: C and C++;Specialised Skills,230
Epidemiology,Health Care: Medical Research;Specialised Skills,231
Physics,Science and Research: Physics;Specialised Skills,232
Calibration,"Maintenance, Repair, and Installation: Electrical and Mechanical Labor;Specialised Skills",233
Credit Risk,Business: Risk Management;Specialised Skills,234
Data Integration,"Information Technology: Extraction, Transformation, and Loading (ETL);Specialised Skills",235
Online Sales,Sales: Online Sales;Specialised Skills,236
Retail Management,Sales: Retail Sales;Specialised Skills,237
AutoCAD,Engineering: Drafting and Engineering Design;Specialised Skills,238
Commissioning,Specialised Skills,239
Data Acquisition,Information Technology: Data Management;Specialised Skills,240
Data Acquisition Systems,Engineering: Engineering Software;Specialised Skills,241
Process Control,Engineering: Process Engineering;Specialised Skills,242
Siemens Nixdorf Hardware,Engineering: Electronic Hardware;Specialised Skills,243
User Interface (UI) Design,Design: User Interface and User Experience (UI/UX) Design;Specialised Skills,244
Visual Basic,Information Technology: Microsoft Development Tools;Specialised Skills,245
Microsoft Azure,Information Technology: Cloud Solutions;Specialised Skills,246
Technical Writing / Editing,Media and Writing: Writing;Specialised Skills,247
Yammer,Business: Business Communications;Specialised Skills,248
Apache Webserver,Information Technology: Web Servers;Specialised Skills,249
Application Support,Information Technology: Technical Support;Specialised Skills,250
Bash,Information Technology: Operating Systems;Specialised Skills,251
Critical Thinking,Specialised Skills,252
Debugging,Information Technology: Programming Principles;Specialised Skills,253
Domain Name System (DNS),Information Technology: Network Protocols;Specialised Skills,254
IP Multicast,Information Technology: General Networking;Specialised Skills,255
Lightweight Directory Access Protocol (LDAP),Information Technology: Network Protocols;Specialised Skills,256
Network Engineering,Information Technology: General Networking;Specialised Skills,257
Scheduling,Administration: Scheduling;Specialised Skills,258
Shell Scripting,Information Technology: Scripting;Specialised Skills,259
Solaris,Information Technology: Operating Systems;Specialised Skills,260
Swift (Programming Language),Information Technology: Mobile Development;Specialised Skills,261
System Maintenance,Information Technology: Systems Administration;Specialised Skills,262
UNIX,Information Technology: Operating Systems;Specialised Skills,263
Wide Area Network (WAN),Information Technology: Network Configuration;Specialised Skills,264
Construction Industry Knowledge,Specialised Skills,265
Hammering,"Maintenance, Repair, and Installation: Hand Tools;Specialised Skills",266
Cost Control,Business: Business Process and Analysis;Specialised Skills,267
Data Management Platform (DMP),Specialised Skills,268
Digital Marketing,Marketing and Public Relations: Online Marketing;Specialised Skills,269
Mining Equipment,Engineering: Geotechnical Engineering;Specialised Skills,270
Arc Welding,Manufacturing and Production: Welding;Specialised Skills,271
Mig and Tig Welding,Manufacturing and Production: Welding;Specialised Skills,272
Welding,Manufacturing and Production: Welding;Specialised Skills,273
Health Promotion Programmes,Health Care: Public Health and Disease Prevention;Specialised Skills,274
Knowledge of Tikanga Maori,Specialised Skills,275
Knowledge of the Treaty of Waitangi,Specialised Skills,276
Residential Construction,Architecture and Construction: Construction Management;Specialised Skills,277
Ansible,Information Technology: IT Automation;Specialised Skills,278
Kibana,Specialised Skills,279
Kubernetes,Information Technology: IT Automation;Specialised Skills,280
Linux Scripting,Information Technology: Scripting;Specialised Skills,281
Optimisation,Business: Optimisation;Specialised Skills,282
Splunk,Information Technology: Big Data;Specialised Skills,283
Data Management,Information Technology: Data Management;Specialised Skills,284
Database Maintenance,Specialised Skills,285
EFTPOS,Specialised Skills,286
Medical Triage,Health Care: General Medical Tests and Procedures;Specialised Skills,287
Patient Advocacy,Health Care: Patient Education and Support;Specialised Skills,288
Rail Safety,Specialised Skills,289
HVAC,"Maintenance, Repair, and Installation: HVAC;Specialised Skills",290
Positive Disposition,Specialised Skills,291
Purchasing,Supply Chain and Logistics: Procurement;Specialised Skills,292
Ventilation,Specialised Skills,293
Anti Money Laundering (AML),Business: Risk Management;Specialised Skills,294
Balance Sheet,Finance: Financial Reporting;Specialised Skills,295
Cross Sell,Sales: General Sales;Specialised Skills,296
Prospective Clients,Sales: Prospecting and Qualification;Specialised Skills,297
Wealth Management,Finance: Investment Management;Specialised Skills,298
Haulage,Specialised Skills,299
Lifting Ability,Health Care: Physical Abilities;Specialised Skills,300
ISO 27001,Information Technology: Information Security;Specialised Skills,301
ISO Standards,Manufacturing and Production: Manufacturing Standards;Specialised Skills,302
NIST Cybersecurity Framework,Specialised Skills,303
Risk Reporting,Business: Risk Management;Specialised Skills,304
Simulation,Engineering: Simulation;Specialised Skills,305
Systems Engineering,Information Technology: System Design and Implementation;Specialised Skills,306
Exterior Painting,Architecture and Construction: Construction Painting;Specialised Skills,307
Interior Painting,Architecture and Construction: Construction Painting;Specialised Skills,308
Painting,"Maintenance, Repair, and Installation: Painting;Specialised Skills",309
Administrative Functions,Administration: Administrative Support;Specialised Skills,310
Marketing,Marketing and Public Relations: General Marketing;Specialised Skills,311
Order Entry,Business: Order Management;Specialised Skills,312
Sales Reporting,Sales: General Sales Practices;Specialised Skills,313
Travel Arrangements,Administration: Administrative Support;Specialised Skills,314
PostgreSQL,Information Technology: SQL Databases and Programming;Specialised Skills,315
Scalability Design,Information Technology: IT Management;Specialised Skills,316
Software Development,Information Technology: Software Development Principles;Specialised Skills,317
Computer Numerical Control (CNC),Manufacturing and Production: Computer-Aided Manufacturing;Specialised Skills,318
Editing,Specialised Skills,319
Engineering Drawings,Engineering: Drafting and Engineering Design;Specialised Skills,320
Machining,Manufacturing and Production: Machine Tools;Specialised Skills,321
Manufacturing Industry Knowledge,Marketing and Public Relations: Marketing Management;Specialised Skills,322
Business Planning,Business: Business Strategy;Specialised Skills,323
Data Migration,Information Technology: Data Warehousing;Specialised Skills,324
Extraction Transformation and Loading (ETL),"Information Technology: Extraction, Transformation, and Loading (ETL);Specialised Skills",325
Informatica,"Information Technology: Extraction, Transformation, and Loading (ETL);Specialised Skills",326
Information Governance,Information Technology: Cybersecurity;Specialised Skills,327
Strategic Development,Business: Business Strategy;Specialised Skills,328
Talend ETL,Specialised Skills,329
Sewing,"Maintenance, Repair, and Installation: Tailoring and Sewing;Specialised Skills",330
Environmental Consulting,Environment: Environmental Work;Specialised Skills,331
Environmental Science,Environment: Environmental Work;Specialised Skills,332
Report Writing,Media and Writing: Writing;Specialised Skills,333
Hypertext Preprocessor (PHP),Information Technology: PHP Web;Specialised Skills,334
Open Web Application Security Project (OWASP),Specialised Skills,335
Process Improvement,Business: Process Improvement;Specialised Skills,336
Requirements Verification and Validation,Analysis: Validation;Specialised Skills,337
Ruby on Rails,Information Technology: Web Development;Specialised Skills,338
3D Printing / Additive Manufacturing (AM),Engineering: Drafting and Engineering Design;Specialised Skills,339
Costing,Finance: Costing;Specialised Skills,340
Decision Analysis,Business: Business Strategy;Specialised Skills,341
Decision Support,Business: Business Process and Analysis;Specialised Skills,342
Environmental Engineering,Environment: Environmental Work;Specialised Skills,343
Environmental Sustainability,Environment: Conservation;Specialised Skills,344
Library of Congress Classification,Education and Training: Library and Cataloging;Specialised Skills,345
Life Cycle Assessment,Specialised Skills,346
Cisco,Information Technology: General Networking;Specialised Skills,347
Cisco Nexus,Information Technology: Networking Hardware;Specialised Skills,348
Cisco Switching,Information Technology: Networking Hardware;Specialised Skills,349
F5 Irules,Information Technology: Scripting Languages;Specialised Skills,350
Network Switches,Specialised Skills,351
System/Network Configuration,Information Technology: Network Configuration;Specialised Skills,352
Enterprise Resource Planning (ERP),Information Technology: Enterprise Resource Planning (ERP);Specialised Skills,353
Extensible Markup Language (XML),Information Technology: Extensible Languages;Specialised Skills,354
Integration Architectures,"Information Technology: Extraction, Transformation, and Loading (ETL);Specialised Skills",355
JavaScript Object Notation (JSON),Information Technology: JavaScript and jQuery;Specialised Skills,356
Jitterbit,Information Technology: Cloud Solutions;Specialised Skills,357
Microsoft Power BI,Specialised Skills,358
Technical Assistance,Business: Technical Assistance;Specialised Skills,359
Basel III,Finance: Financial Regulations;Specialised Skills,360
Capital Adequacy,Legal: Regulation and Law Compliance;Specialised Skills,361
Econometrics,"Economics, Policy, and Social Studies: Economics;Specialised Skills",362
Caregiving,Health Care: Basic Living Activities Support;Specialised Skills,363
Clinical Experience,Health Care: Medical Support;Specialised Skills,364
Occupational Therapy,Health Care: Rehab Therapy;Specialised Skills,365
Creative Problem Solving,Specialised Skills,366
Data Science,Analysis: Data Science;Specialised Skills,367
Decision Trees,Analysis: Machine Learning;Specialised Skills,368
Linear Regression,Analysis: Statistics;Specialised Skills,369
Sales Support,Sales: Inside Sales;Specialised Skills,370
Storyboarding,Design: Graphic and Visual Design;Specialised Skills,371
Data Transformation,"Information Technology: Extraction, Transformation, and Loading (ETL);Specialised Skills",372
Kaizen,Manufacturing and Production: Lean Manufacturing;Specialised Skills,373
Machine Learning,Analysis: Machine Learning;Specialised Skills,374
Natural Language Processing,Analysis: Natural Language Processing (NLP);Specialised Skills,375
Supervised Learning (Machine Learning),Specialised Skills,376
Unsupervised Learning,Specialised Skills,377
ADLs Assistance,Health Care: Basic Living Activities Support;Specialised Skills,378
Activities of Daily Living (ADLS),Health Care: Basic Living Activities Support;Specialised Skills,379
Pain Management,Health Care: Advanced Patient Care;Specialised Skills,380
Biotechnology,Industry Knowledge: Biologics Industry Knowledge;Specialised Skills,381
Chemistry,Science and Research: Chemistry;Specialised Skills,382
Food Science,Health Care: Nutrition and Diet;Specialised Skills,383
Preparing Reports,Specialised Skills,384
Energy Management,Energy and Utilities: Energy Management;Specialised Skills,385
Internet of Things (IoT),Information Technology: Internet of Things (IoT);Specialised Skills,386
Lead Generation,Sales: General Sales;Specialised Skills,387
Market Trend,Marketing and Public Relations: Market Analysis;Specialised Skills,388
Mechanical Engineering,Engineering: Mechanical Engineering;Specialised Skills,389
Product Sales,Sales: General Sales;Specialised Skills,390
Strategic Planning,Business: Business Strategy;Specialised Skills,391
Technical Sales,Sales: Technical Sales;Specialised Skills,392
Radar Systems,Engineering: Electrical and Computer Engineering;Specialised Skills,393
DNA,Science and Research: Genetics;Specialised Skills,394
Immunisations,Health Care: Infectious Diseases;Specialised Skills,395
Database Optimisation,Information Technology: Data Warehousing;Specialised Skills,396
E-Commerce,Sales: E-Commerce;Specialised Skills,397
Salesforce.Com Marketing Cloud,Marketing and Public Relations: Marketing Software;Specialised Skills,398
Target Market,Specialised Skills,399
Systems Development Life Cycle (SDLC),Information Technology: System Design and Implementation;Specialised Skills,400
Scanners,Administration: Office Machines;Specialised Skills,401
Yoga,Education and Training: Exercise Training;Specialised Skills,402
Broadband,"Maintenance, Repair, and Installation: Equipment Repair and Maintenance;Specialised Skills",403
Commodity Management,Supply Chain and Logistics: Supplier Relationship Management;Specialised Skills,404
Contact Management,Sales: General Sales;Specialised Skills,405
Corporate Finance,Finance: Corporate Accounting;Specialised Skills,406
Due Diligence,Business: Due Diligence;Specialised Skills,407
Economic Analysis,"Economics, Policy, and Social Studies: Economics;Specialised Skills",408
Finance,Specialised Skills,409
Financial Analysis,Finance: Financial Analysis;Specialised Skills,410
Financial Modelling,Finance: Financial Analysis;Specialised Skills,411
Home Building,Architecture and Construction: Carpentry;Specialised Skills,412
Investment Analysis,Finance: Financial Analysis;Specialised Skills,413
Investment Banking,Finance: Financial Trading;Specialised Skills,414
Plumbing,"Maintenance, Repair, and Installation: Plumbing;Specialised Skills",415
Cold Calling,Sales: General Sales;Specialised Skills,416
Customer Contact,Customer and Client Support: Basic Customer Service;Specialised Skills,417
Intellectual Property,Legal: Intellectual Property;Specialised Skills,418
Key Performance Indicators (KPIs),Business: Key Performance Indicators;Specialised Skills,419
Product Knowledge,Sales: Company Product and Service Knowledge;Specialised Skills,420
Sales Channels,Sales: Business Development;Specialised Skills,421
Sales Forecasting,Sales: General Sales Practices;Specialised Skills,422
Sales Goals,Sales: General Sales Practices;Specialised Skills,423
Sales Management,Sales: Sales Management;Specialised Skills,424
Risk Modelling,Business: Risk Management;Specialised Skills,425
Securities,Finance: Investment Management;Specialised Skills,426
Mining Operations,Engineering: Geotechnical Engineering;Specialised Skills,427
Electrolysis,Specialised Skills,428
Energy Conversion,Energy and Utilities: Energy Efficiency;Specialised Skills,429
Energy Systems,Energy and Utilities: Energy Solutions;Specialised Skills,430
Apache Subversion (SVN),Information Technology: Version Control;Specialised Skills,431
Configuration Management,Information Technology: System Design and Implementation;Specialised Skills,432
Lifecycle Management,Business: Product Management;Specialised Skills,433
Information Architecture,Design: User Interface and User Experience (UI/UX) Design;Specialised Skills,434
Microsoft SQL,Information Technology: SQL Databases and Programming;Specialised Skills,435
Microsoft Sql Server Integration Services (SSIS),Information Technology: Microsoft SQL Extensions;Specialised Skills,436
SQL Server Analysis Services (SSAS),Information Technology: Microsoft SQL Extensions;Specialised Skills,437
Transact-SQL,Information Technology: SQL Databases and Programming;Specialised Skills,438
COBOL,Information Technology: Mainframe Technologies;Specialised Skills,439
Mainframe,Information Technology: Mainframe Technologies;Specialised Skills,440
Management Industry Knowledge,Marketing and Public Relations: Market Analysis;Specialised Skills,441
Prospecting,Sales: Prospecting and Qualification;Specialised Skills,442
Sales Analytics,Sales: Sales Analysis;Specialised Skills,443
Unified Communications,Business: Business Communications;Specialised Skills,444
Demolition,Architecture and Construction: Construction Management;Specialised Skills,445
Object-Oriented Analysis and Design (OOAD),Information Technology: Programming Principles;Specialised Skills,446
Oracle,Information Technology: Oracle;Specialised Skills,447
Pricing Strategy,Business: Pricing Analysis;Specialised Skills,448
.NET,Information Technology: Microsoft Development Tools;Specialised Skills,449
Atlassian Bamboo,Information Technology: Software Development Tools;Specialised Skills,450
Fortran,Information Technology: Mainframe Technologies;Specialised Skills,451
Git,Information Technology: Version Control;Specialised Skills,452
Software Engineering,Information Technology: Software Development Principles;Specialised Skills,453
API Management,Information Technology: Application Programming Interface (API);Specialised Skills,454
Middleware,Information Technology: Middleware;Specialised Skills,455
Service-Orientated Architecture (SOA),Information Technology: Software Development Principles;Specialised Skills,456
Systems Integration,Information Technology: System Design and Implementation;Specialised Skills,457
TOGAF,Information Technology: System Design and Implementation;Specialised Skills,458
Waterfall Development Process,Specialised Skills,459
Software Installation,Information Technology: Technical Support;Specialised Skills,460
Document Review,Legal: Legal Research;Specialised Skills,461
LabVIEW,Engineering: Engineering Software;Specialised Skills,462
Product Development,Manufacturing and Production: Product Development;Specialised Skills,463
Request for Information (RFI),Supply Chain and Logistics: Procurement;Specialised Skills,464
SCADA,Engineering: Engineering Software;Specialised Skills,465
Wiring,"Maintenance, Repair, and Installation: Basic Electrical Systems;Specialised Skills",466
Wiring Diagrams,"Maintenance, Repair, and Installation: Basic Electrical Systems;Specialised Skills",467
Traffic Management,Specialised Skills,468
Repair,Specialised Skills,469
Transportation Industry Knowledge,Specialised Skills,470
Amazon Web Services (AWS),Information Technology: Cloud Solutions;Specialised Skills,471
